# FCM competition id	Competition name	football-logos.cc asset (relative to https://assets.football-logos.cc/logos/)
# Harvested 2026-08-16 by hand via country/league pages on https://football-logos.cc
# --- Leagues ---
EPL	Premier League	england/256x256/english-premier-league.fd484e52.png
CHP	EFL Championship	england/256x256/efl-championship.988911c5.png
LAL	LaLiga	spain/256x256/la-liga.f431b6b0.png
LA2	LaLiga 2	spain/256x256/la-liga-2.f153481e.png
SEA	Serie A	italy/256x256/serie-a.0f13bb03.png
SEB	Serie B	italy/256x256/serie-b.37fa14c9.png
BUN	Bundesliga	germany/256x256/bundesliga.fe50b6c0.png
BU2	2. Bundesliga	germany/256x256/2-bundesliga.3af0138e.png
LI1	Ligue 1	france/256x256/ligue-1.5be98861.png
LI2	Ligue 2	france/256x256/ligue-2.c49605da.png
ERE	Eredivisie	netherlands/256x256/eredivisie.77de567e.png
LIP	Liga Portugal	portugal/256x256/primeira-liga.c57025c6.png
SUL	Süper Lig	turkey/256x256/super-lig.30dcf97a.png
BPL	Belgian Pro League	belgium/256x256/jupiler-pro-league.88f9b202.png
SCP	Scottish Premiership	scotland/256x256/scottish-premiership.a3f5eb75.png
AUB	Austrian Bundesliga	austria/256x256/austrian-football-bundesliga.be0b6a69.png
SUP	Swiss Super League	switzerland/256x256/swiss-football-league.dfd6c3e1.png
DSU	Danish Superliga	denmark/256x256/danish-super-liga.4a4cd939.png
GSU	Greek Super League	greece/256x256/super-league-1.ca7009af.png
CFL	Czech First League	czech-republic/256x256/chance-liga.e3b47004.png
UPL	Ukrainian Premier League	ukraine/256x256/ukrainian-premier-league.e23b319b.png
ELI	Eliteserien	norway/256x256/eliteserien.ebdd1ad8.png
ALL	Allsvenskan	sweden/256x256/allsvenskan.a9bf7bea.png
EKS	Ekstraklasa	poland/256x256/ekstraklasa.97ec3945.png
HNL	Croatian HNL	croatia/256x256/croatian-football-league.2f8a23f4.png
SRL	Serbian SuperLiga	serbia/256x256/serbian-superliga.f89d6127.png
LS1	Romanian SuperLiga	romania/256x256/superliga.a0e1790a.png
SPL	Saudi Pro League	saudi-arabia/256x256/saudi-professional-league.45514c83.png
# --- Domestic cups ---
FAC	FA Cup	england/1500x1500/emirates-fa-cup.59d820fb.png
ELC	EFL Cup	england/1500x1500/efl-cup.02ea7da4.png
CDR	Copa del Rey	spain/1500x1500/copa-del-rey.3a672b46.png
COI	Coppa Italia	italy/1500x1500/coppa-italia.5448be3f.png
DFP	DFB-Pokal	germany/1500x1500/dfb-pokal.368025c3.png
CDF	Coupe de France	france/1500x1500/french-cup.9c89ddb5.png
SDE	Supercopa de España	spain/1500x1500/supercopa-de-espana.c434e515.png
# --- UEFA club competitions ---
UCL	UEFA Champions League	tournaments/1500x1500/uefa-champions-league.47d48d4e.png
UEL	UEFA Europa League	tournaments/1500x1500/uefa-europa-league.a5dfd022.png
UCL2	UEFA Conference League	tournaments/1500x1500/uefa-conference-league.7fce1e15.png
